country,country_code,per_capita_kg_per_day
Albania,ALB,0.0690
Algeria,DZA,0.1440
Angola,AGO,0.0620
Anguilla,AIA,0.2520
Antigua and Barbuda,ATG,0.6600
Argentina,ARG,0.1830
Aruba,ABW,0.2520
Australia,AUS,0.1120
Bahamas,BHS,0.3900
Bahrain,BHR,0.1320
Bangladesh,BGD,0.0340
Barbados,BRB,0.5700
Belgium,BEL,0.0800
Belize,BLZ,0.1720
Benin,BEN,0.0430
Bermuda,BMU,0.2520
Bosnia and Herzegovina,BIH,0.1440
Brazil,BRA,0.1650
British Virgin Islands,VGB,0.2520
Brunei,BRN,0.0260
Bulgaria,BGR,0.1540
Cambodia,KHM,0.0660
Cameroon,CMR,0.0460
Canada,CAN,0.0930
Cape Verde,CPV,0.0650
Cayman Islands,CYM,0.2520
Channel Islands,OWID_CIS,0.2520
Chile,CHL,0.1190
China,CHN,0.1210
Christmas Island,CXR,0.2520
Cocos Islands,CCK,0.2520
Colombia,COL,0.1440
Comoros,COM,0.2010
Congo,COG,0.0690
Cook Islands,COK,0.1440
Costa Rica,CRI,0.2580
Cote d'Ivoire,CIV,0.1030
Croatia,HRV,0.2520
Cuba,CUB,0.0890
Curacao,CUW,0.2520
Cyprus,CYP,0.2480
Democratic Republic of Congo,COD,0.0450
Denmark,DNK,0.0470
Djibouti,DJI,0.1030
Dominica,DMA,0.1490
Dominican Republic,DOM,0.1440
Ecuador,ECU,0.1470
Egypt,EGY,0.1780
El Salvador,SLV,0.1470
Equatorial Guinea,GNQ,0.1440
Eritrea,ERI,0.0450
Estonia,EST,0.1760
Falkland Islands,FLK,0.2520
Faroe Islands,FRO,0.2520
Fiji,FJI,0.1890
Finland,FIN,0.2340
France,FRA,0.1920
French Guiana,GUF,0.1440
French Polynesia,PYF,0.2520
Gabon,GAB,0.0540
Gambia,GMB,0.0480
Georgia,GEO,0.0680
Germany,DEU,0.4850
Ghana,GHA,0.0400
Gibraltar,GIB,0.2520
Greece,GRC,0.2000
Greenland,GRL,0.2520
Grenada,GRD,0.3250
Guadeloupe,GLP,0.1440
Guam,GUM,0.2520
Guatemala,GTM,0.2800
Guernsey,GGY,0.2520
Guinea,GIN,0.0300
Guinea-Bissau,GNB,0.0540
Guyana,GUY,0.5860
Haiti,HTI,0.0900
Honduras,HND,0.1890
Hong Kong,HKG,0.3980
Iceland,ISL,0.2810
India,IND,0.0100
Indonesia,IDN,0.0570
Iran,IRN,0.1440
Iraq,IRQ,0.1030
Ireland,IRL,0.4300
Israel,ISR,0.2970
Italy,ITA,0.1340
Jamaica,JAM,0.0340
Japan,JPN,0.1710
Jordan,JOR,0.1440
Kenya,KEN,0.0270
Kiribati,KIR,0.1030
Kuwait,KWT,0.6860
Latvia,LVA,0.1240
Lebanon,LBN,0.0940
Liberia,LBR,0.0840
Libya,LBY,0.1440
Lithuania,LTU,0.1320
Macao,MAC,0.3680
Madagascar,MDG,0.0160
Malaysia,MYS,0.1980
Maldives,MDV,0.3220
Malta,MLT,0.2140
Marshall Islands,MHL,0.1920
Martinique,MTQ,0.2520
Mauritania,MRT,0.0450
Mauritius,MUS,0.2300
Mexico,MEX,0.0870
Micronesia (country),FSM,0.1030
Monaco,MCO,0.2520
Montenegro,MNE,0.1440
Montserrat,MSR,0.1440
Morocco,MAR,0.0730
Mozambique,MOZ,0.0150
